,desc,hed,ds,version
12,Beginning of a cue tone instance.,"(Def/Cue-sound, Onset)",ds004105,8.0.0
13,End of a cue tone instance.,"(Def/Cue-sound, Offset)",ds004105,8.0.0
14,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)",ds004105,8.0.0
15,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)",ds004105,8.0.0
16,Start of a trial,"(Def/Trial-marker, Onset)",ds004105,8.0.0
17,End of a trial,"(Def/Trial-marker, Offset)",ds004105,8.0.0
18,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)",ds004105,8.0.0
19,Scenario is a straight road," (Paved-terrain, Label/Straight_road)",ds004105,8.0.0
20,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))",ds004105,8.0.0
21,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))",ds004105,8.0.0
22,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))",ds004105,8.0.0
23,Driver starts correcting lane position.,"(Def/Course-correction, Onset)",ds004105,8.0.0
24,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)",ds004105,8.0.0
25,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))",ds004105,8.0.0
26,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))",ds004105,8.0.0
27,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))",ds004105,8.0.0
28,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))",ds004105,8.0.0
29,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))",ds004105,8.0.0
30,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))",ds004105,8.0.0
31,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))",ds004105,8.0.0
32,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))",ds004105,8.0.0
33,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))",ds004105,8.0.0
34,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))",ds004105,8.0.0
35,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))",ds004105,8.0.0
36,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))",ds004105,8.0.0
37,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))",ds004105,8.0.0
0,Start of left perturbation,"(Def/Left-perturb, Onset)",ds004122,8.0.0
1,End of left perturbation,"(Def/Left-perturb, Offset)",ds004122,8.0.0
2,Start of right perturbation,"(Def/Right-perturb, Onset)",ds004122,8.0.0
3,End of right perturbation,"(Def/Right-perturb, Offset)",ds004122,8.0.0
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)",ds004122,8.0.0
5,End driving car forward.,"(Def/Drive-vehicle, Offset)",ds004122,8.0.0
6,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)",ds004122,8.0.0
7,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)",ds004122,8.0.0
8,Start of a trial,"(Def/Trial-marker, Onset)",ds004122,8.0.0
9,End of a trial,"(Def/Trial-marker, Offset)",ds004122,8.0.0
10,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)",ds004122,8.0.0
11,Scenario is a straight road," (Paved-terrain, Label/Straight_road)",ds004122,8.0.0
12,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))",ds004122,8.0.0
13,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))",ds004122,8.0.0
14,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))",ds004122,8.0.0
15,Driver starts correcting lane position.,"(Def/Course-correction, Onset)",ds004122,8.0.0
16,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)",ds004122,8.0.0
17,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))",ds004122,8.0.0
18,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))",ds004122,8.0.0
19,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))",ds004122,8.0.0
20,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))",ds004122,8.0.0
21,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))",ds004122,8.0.0
22,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))",ds004122,8.0.0
23,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))",ds004122,8.0.0
24,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))",ds004122,8.0.0
25,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))",ds004122,8.0.0
0,Start of left perturbation,"(Def/Left-perturb, Onset)",ds004118,8.0.0
1,End of left perturbation,"(Def/Left-perturb, Offset)",ds004118,8.0.0
2,Start of right perturbation,"(Def/Right-perturb, Onset)",ds004118,8.0.0
3,End of right perturbation,"(Def/Right-perturb, Offset)",ds004118,8.0.0
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)",ds004118,8.0.0
5,End driving car forward.,"(Def/Drive-vehicle, Offset)",ds004118,8.0.0
6,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)",ds004118,8.0.0
7,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)",ds004118,8.0.0
8,Start of a trial,"(Def/Trial-marker, Onset)",ds004118,8.0.0
9,End of a trial,"(Def/Trial-marker, Offset)",ds004118,8.0.0
10,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)",ds004118,8.0.0
11,Scenario is a straight road," (Paved-terrain, Label/Straight_road)",ds004118,8.0.0
12,Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)",ds004118,8.0.0
13,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))",ds004118,8.0.0
14,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))",ds004118,8.0.0
15,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))",ds004118,8.0.0
16,Driver starts correcting lane position.,"(Def/Course-correction, Onset)",ds004118,8.0.0
17,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)",ds004118,8.0.0
18,Start of an undefined button press.,"(Def/Press-button, (Indeterminate-action), Onset)",ds004118,8.0.0
19,End of undefined button press.,"(Def/Press-button, Offset)",ds004118,8.0.0
20,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))",ds004118,8.0.0
21,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))",ds004118,8.0.0
22,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))",ds004118,8.0.0
23,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))",ds004118,8.0.0
24,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))",ds004118,8.0.0
25,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))",ds004118,8.0.0
26,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))",ds004118,8.0.0
27,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))",ds004118,8.0.0
28,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))",ds004118,8.0.0
29,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))",ds004118,8.0.0
30,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))",ds004118,8.0.0
31,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))",ds004118,8.0.0
0,Start of left perturbation,"(Def/Left-perturb, Onset)",ds004121,8.0.0
1,End of left perturbation,"(Def/Left-perturb, Offset)",ds004121,8.0.0
2,Start of right perturbation,"(Def/Right-perturb, Onset)",ds004121,8.0.0
3,End of right perturbation,"(Def/Right-perturb, Offset)",ds004121,8.0.0
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)",ds004121,8.0.0
5,End driving car forward.,"(Def/Drive-vehicle, Offset)",ds004121,8.0.0
6,Beginning of sound clip relevant to task.,"(Def/Play-sound-clip/TaskRelated, (Related-to, Task), Onset)",ds004121,8.0.0
7,End of a sound clip relevant to task.,"(Def/Play-sound-clip/TaskRelated, Offset)",ds004121,8.0.0
8,Beginning of a sound clip unrelated to task.,"(Def/Play-sound-clip/TaskUnrelated, Onset)",ds004121,8.0.0
9,End of a sound clip unrelated to task.,"(Def/Play-sound-clip/TaskUnrelated, Offset)",ds004121,8.0.0
10,Beginning of sound clip on mindfulness breath counting exercise.,"(Def/Play-sound-clip/MindfulnessClip, (Instructional, (Related-to, Rest)), Onset)",ds004121,8.0.0
11,End of sound clip on mindfulness breath counting exercise.,"(Def/Play-sound-clip/MindfulnessClip,  Offset)",ds004121,8.0.0
12,Start oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, ((Car, (Less-than, Item-count/13)), (Move, Towards, (Leftward, Lane))), Onset)",ds004121,8.0.0
13,End oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, Offset)",ds004121,8.0.0
14,Start vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, ((Car, (Less-than, Item-count/4)), In-front-of), Onset)",ds004121,8.0.0
15,End vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, Offset)",ds004121,8.0.0
16,Start vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, ((Car, Item-count/2, Behind), (Move, In-front-of)), Onset)",ds004121,8.0.0
17,End vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, Offset)",ds004121,8.0.0
18,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)",ds004121,8.0.0
19,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)",ds004121,8.0.0
20,Start showing a 35 MPH sign.,"(Def/Show-speed-sign/35, Onset)",ds004121,8.0.0
21,End showing a 35 MPH sign.,"(Def/Show-speed-sign/35, Offset)",ds004121,8.0.0
22,Start police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, (Car, Target, Oddball), Onset)",ds004121,8.0.0
23,End police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, Offset)",ds004121,8.0.0
24,Start of a trial,"(Def/Trial-marker, Onset)",ds004121,8.0.0
25,End of a trial,"(Def/Trial-marker, Offset)",ds004121,8.0.0
26,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)",ds004121,8.0.0
27,Scenario is a straight road," (Paved-terrain, Label/Straight_road)",ds004121,8.0.0
28,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))",ds004121,8.0.0
29,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))",ds004121,8.0.0
30,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))",ds004121,8.0.0
31,Driver starts correcting lane position.,"(Def/Course-correction, Onset)",ds004121,8.0.0
32,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)",ds004121,8.0.0
33,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))",ds004121,8.0.0
34,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))",ds004121,8.0.0
35,Start of an undefined button press.,"(Def/Press-button, (Indeterminate-action), Onset)",ds004121,8.0.0
36,End of undefined button press.,"(Def/Press-button, Offset)",ds004121,8.0.0
37,Start of button press to acknowledge a police car.,"(Def/Press-button, (Detect, (Target, Label/Police-car)), Onset)",ds004121,8.0.0
38,End of button press to acknowledge a police car.,"(Def/Press-button, Offset)",ds004121,8.0.0
39,"A single police car was in view, and reported, then occluded, then in view again, and reported again. It’s not clear whether the subject knew it was the same target both times.","(Participant-response, Indeterminate-action)",ds004121,8.0.0
40,Participant gives false alarm target response.,"(Participant-response, Incorrect-action)",ds004121,8.0.0
41,Participant gives valid detection of target. ,"(Participant-response, Correct-action)",ds004121,8.0.0
42,Participant gives repeated target detection response.,"(Participant-response, Repetitive, Inappropriate-action)",ds004121,8.0.0
43,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))",ds004121,8.0.0
44,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))",ds004121,8.0.0
45,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))",ds004121,8.0.0
46,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))",ds004121,8.0.0
47,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))",ds004121,8.0.0
48,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))",ds004121,8.0.0
49,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))",ds004121,8.0.0
50,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))",ds004121,8.0.0
51,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))",ds004121,8.0.0
52,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))",ds004121,8.0.0
53,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))",ds004121,8.0.0
54,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))",ds004121,8.0.0
0,Start of left perturbation,"(Def/Left-perturb, Onset)",ds004120,8.0.0
1,End of left perturbation,"(Def/Left-perturb, Offset)",ds004120,8.0.0
2,Start of right perturbation,"(Def/Right-perturb, Onset)",ds004120,8.0.0
3,End of right perturbation,"(Def/Right-perturb, Offset)",ds004120,8.0.0
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)",ds004120,8.0.0
5,End driving car forward.,"(Def/Drive-vehicle, Offset)",ds004120,8.0.0
6,Start showing a 25 MPH sign.,"(Def/Show-speed-sign/25, Onset)",ds004120,8.0.0
7,End showing a 25 MPH sign.,"(Def/Show-speed-sign/25, Offset)",ds004120,8.0.0
8,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)",ds004120,8.0.0
9,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)",ds004120,8.0.0
10,Start of a trial,"(Def/Trial-marker, Onset)",ds004120,8.0.0
11,End of a trial,"(Def/Trial-marker, Offset)",ds004120,8.0.0
12,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)",ds004120,8.0.0
13,Scenario is a straight road," (Paved-terrain, Label/Straight_road)",ds004120,8.0.0
14,Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)",ds004120,8.0.0
15,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))",ds004120,8.0.0
16,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))",ds004120,8.0.0
17,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))",ds004120,8.0.0
18,Driver starts correcting lane position.,"(Def/Course-correction, Onset)",ds004120,8.0.0
19,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)",ds004120,8.0.0
20,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))",ds004120,8.0.0
21,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))",ds004120,8.0.0
22,The Arduino data collection system starts failing.,"(Def/System-failure/Arduino, Onset)",ds004120,8.0.0
23,The Arduino data collection system enda failing.,"(Def/System-failure/Arduino, Offset)",ds004120,8.0.0
24,The EEG data collection system starts failing.,"(Def/System-failure/EEG, Onset)",ds004120,8.0.0
25,The EEG data collection system ends failing.,"(Def/System-failure/EEG, Offset)",ds004120,8.0.0
26,The eye tracking system starts failing.,"(Def/System-failure/Eye-tracking, Onset)",ds004120,8.0.0
27,The eye tracking system ends failing.,"(Def/System-failure/Eye-tracking, Offset)",ds004120,8.0.0
28,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))",ds004120,8.0.0
29,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))",ds004120,8.0.0
