prompt,completion
Auditory and visual presentation of a look cue.,"Sensory-presentation, (Word, Label/Word-look), Auditory-presentation, Visual-presentation"
Presentation of a 500 Hz tone.,"Sensory-presentation, Experimental-stimulus, Auditory-presentation, (Tone, Frequency/500 Hz)"
Pause the recording of the experiment.,"Experiment-control, Pause"
Indicates that the stimulus should be attended to.,Attend-to
Indicates that the stimulus should be ignored.,Label/Ignore
Cue indicating participant should focus on auditory stimuli.,"(Cue, Instructional, Focused-attention, Auditory-presentation)"
Cue indicating participant should focus on visual stimuli.,"(Cue, Instructional, Focused-attention, Visual-presentation)"
Stimulus that is a non-target.,Non-target
Stimulus that is designated as the one to be looked for.,"Target, Oddball"
A target in the attended to modality has been detected.,"(Detect, Target)"
Experimental condition in which participant only pays attention to auditory stimuli.,"(Condition-variable/Auditory-focus, (Focused-attention, Auditory-presentation))"
Experimental condition in which participant only pays attention to visual stimuli.,"(Condition-variable/Visual-focus, (Focused-attention, Visual-presentation))"
Experimental condition in which participant shifts attention based on instructions.,"(Condition-variable/Shift-focus, (Switch-attention, Auditory-presentation, Visual-presentation))"
target digit (3) shown,"(Target,Character/3),Experimental-stimulus,Sensory-event,Visual-presentation"
participant response; correct if following non-target,"(Press,Keyboard-key/Spacebar),Agent-action,Experiment-participant,Participant-response"
"non-target digit (1, 2, 4, 5, 6, 7, 8, 9) shown","(Non-target,Character),Experimental-stimulus,Sensory-event,Visual-presentation"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
"A single police car was in view, and reported, then occluded, then in view again, and reported again. It’s not clear whether the subject knew it was the same target both times.","(Participant-response, Indeterminate-action)"
Participant gives false alarm target response.,"(Participant-response, Incorrect-action)"
Participant gives valid detection of target. ,"(Participant-response, Correct-action)"
Participant gives repeated target detection response.,"(Participant-response, Repetitive, Inappropriate-action)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)"
Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)"
Particpant pushes the left button.,"Agent-action, Participant-response, (Press, (Push-button, (Left-side-of)))"
Participant pushes the right button,"Agent-action, Participant-response, (Press, (Push-button, (Right-side-of)))"
Display an image of a cross character on the screen.,"Sensory-event, Visual-presentation, (Cross, (Center-of, Computer-screen))"
Display an image of a dash character on the screen.,"Sensory-event, Visual-presentation, (Dash, (Center-of, Computer-screen))"
Display a letter on the screen.,"Sensory-event, Visual-presentation, (Character, (Center-of, Computer-screen))"
Play a beep sound.,"Sensory-event, Auditory-presentation, Beep"
Play a buzz sound,"Sensory-event, Auditory-presentation, Buzz"
This event is part of a bad or incomplete trial. Some of the expected trial events are missing.,"(Invalid, Experimental-trial)"
Feedback that the last participant response was correct.,"(Feedback, Correct-action)"
Feedback that the last participant response was incorrect.,"(Feedback, Incorrect-action)"
Indicates participant should fixate.,"(Task, Fixate)"
The participant correctly indicated that the probe was not a target.,"((Recall, Non-target), Correct-action)"
The participant indicated that the probe was not a target but the probe was a target.,"((Recall, Non-target), Incorrect-action)"
The participant presses a button to indicate ready.,"(Appropriate-action, Label/Indicate-ready)"
The probe letter was not shown in the trial.,"(Cue, Non-target)"
The probe letter was a target to be remembered.,"(Cue, Target)"
Participant correctly indicated that the probe was a target.,"((Recall, Target), Correct-action)"
Participant indicated that the probe was a target but the probe was not a target.,"((Recall, Target), Incorrect-action)"
This probe letter is not a target.,Non-target
This probe letter is a target.,Target
Cue to indicate that a probe letter is coming.,"(Cue, Recall)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
Experiment participant presses both keys .,"Agent-action, Indeterminate-action, (Press, Keyboard-key)"
Response of the subject,"Participant-response, (Keyboard-key, Press), Agent-action"
Standard at 500 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/500Hz, Correct, Non-target, (Not-equal-to, Go-signal), Expected"
Ignore - not a real event,Description/Event Irrelevant for Experiment
Oddball at 1000 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/1000Hz, Wrong, Target, Oddball, Expected, Go-signal"
White noise for 60 ms,"Auditory-presentation, Sensory-event, Correct, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor"
"White noise for 60 ms, followed by response (incorrect distractor)","Auditory-presentation, Sensory-event, Wrong, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor, Participant-response"
"Oddball at 1000 hz for 60 ms, followed by response (correct target)","Auditory-presentation, Sensory-event, Pitch/1000Hz, Correct, Target, Oddball, Expected, Go-signal, Participant-response"
"Standard at 500 hz for 60 ms, followed by response (incorrect)","Auditory-presentation, Sensory-event, Pitch/500Hz, Wrong, Non-target, (Not-equal-to, Go-signal), Participant-response, Expected"
Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)"
Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)"
