prompt,completion
Auditory and visual presentation of a look cue.,"Sensory-presentation, (Word, Label/Word-look), Auditory-presentation, Visual-presentation"
Presentation of a 500 Hz tone.,"Sensory-presentation, Experimental-stimulus, Auditory-presentation, (Tone, Frequency/500 Hz)"
Pause the recording of the experiment.,"Experiment-control, Pause"
Indicates that the stimulus should be attended to.,Attend-to
Indicates that the stimulus should be ignored.,Label/Ignore
Cue indicating participant should focus on auditory stimuli.,"(Cue, Instructional, Focused-attention, Auditory-presentation)"
Cue indicating participant should focus on visual stimuli.,"(Cue, Instructional, Focused-attention, Visual-presentation)"
Stimulus that is a non-target.,Non-target
Stimulus that is designated as the one to be looked for.,"Target, Oddball"
A target in the attended to modality has been detected.,"(Detect, Target)"
Experimental condition in which participant only pays attention to auditory stimuli.,"(Condition-variable/Auditory-focus, (Focused-attention, Auditory-presentation))"
Experimental condition in which participant only pays attention to visual stimuli.,"(Condition-variable/Visual-focus, (Focused-attention, Visual-presentation))"
Experimental condition in which participant shifts attention based on instructions.,"(Condition-variable/Shift-focus, (Switch-attention, Auditory-presentation, Visual-presentation))"
target digit (3) shown,"(Target,Character/3),Experimental-stimulus,Sensory-event,Visual-presentation"
participant response; correct if following non-target,"(Press,Keyboard-key/Spacebar),Agent-action,Experiment-participant,Participant-response"
"non-target digit (1, 2, 4, 5, 6, 7, 8, 9) shown","(Non-target,Character),Experimental-stimulus,Sensory-event,Visual-presentation"
Start of left perturbation,"(Def/Left-perturb, Onset)"
End of left perturbation,"(Def/Left-perturb, Offset)"
Start of right perturbation,"(Def/Right-perturb, Onset)"
End of right perturbation,"(Def/Right-perturb, Offset)"
Start of a left perturbation cued by a sound.,"(Def/Left-perturb, Onset), Def/Cue-sound"
End of a left perturbation cued by a sound.,"(Def/Left-perturb, Offset)"
Start of a right perturbation cued by a sound.,"(Def/Right-perturb, Onset), Def/Cue-sound"
End of a right perturbation cued by a sound.,"(Def/Right-perturb, Onset)"
Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
End driving car forward.,"(Def/Drive-vehicle, Offset)"
Beginning of non-cue tone instance.,"(Def/Non-cue-sound, Onset)"
Beginning of non-cue tone instance.,"(Def/Non-cue-sound, Offset)"
Beginning of a cue tone instance.,"(Def/Cue-sound, Onset)"
End of a cue tone instance.,"(Def/Cue-sound, Offset)"
Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
Start of a trial,"(Def/Trial-marker, Onset)"
End of a trial,"(Def/Trial-marker, Offset)"
All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
Start of left perturbation,"(Def/Left-perturb, Onset)"
End of left perturbation,"(Def/Left-perturb, Offset)"
Start of right perturbation,"(Def/Right-perturb, Onset)"
End of right perturbation,"(Def/Right-perturb, Offset)"
Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
End driving car forward.,"(Def/Drive-vehicle, Offset)"
Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
Start of a trial,"(Def/Trial-marker, Onset)"
End of a trial,"(Def/Trial-marker, Offset)"
All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
Start of left perturbation,"(Def/Left-perturb, Onset)"
End of left perturbation,"(Def/Left-perturb, Offset)"
Start of right perturbation,"(Def/Right-perturb, Onset)"
End of right perturbation,"(Def/Right-perturb, Offset)"
Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
End driving car forward.,"(Def/Drive-vehicle, Offset)"
Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
Start of a trial,"(Def/Trial-marker, Onset)"
End of a trial,"(Def/Trial-marker, Offset)"
All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)"
Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
Start of an undefined button press.,"(Def/Press-button, (Indeterminate-action), Onset)"
End of undefined button press.,"(Def/Press-button, Offset)"
Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
Start of left perturbation,"(Def/Left-perturb, Onset)"
End of left perturbation,"(Def/Left-perturb, Offset)"
Start of right perturbation,"(Def/Right-perturb, Onset)"
End of right perturbation,"(Def/Right-perturb, Offset)"
Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
End driving car forward.,"(Def/Drive-vehicle, Offset)"
Beginning of sound clip relevant to task.,"(Def/Play-sound-clip/TaskRelated, (Related-to, Task), Onset)"
End of a sound clip relevant to task.,"(Def/Play-sound-clip/TaskRelated, Offset)"
Beginning of a sound clip unrelated to task.,"(Def/Play-sound-clip/TaskUnrelated, Onset)"
End of a sound clip unrelated to task.,"(Def/Play-sound-clip/TaskUnrelated, Offset)"
Beginning of sound clip on mindfulness breath counting exercise.,"(Def/Play-sound-clip/MindfulnessClip, (Instructional, (Related-to, Rest)), Onset)"
End of sound clip on mindfulness breath counting exercise.,"(Def/Play-sound-clip/MindfulnessClip,  Offset)"
Start oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, ((Car, (Less-than, Item-count/13)), (Move, Towards, (Leftward, Lane))), Onset)"
End oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, Offset)"
Start vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, ((Car, (Less-than, Item-count/4)), In-front-of), Onset)"
End vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, Offset)"
Start vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, ((Car, Item-count/2, Behind), (Move, In-front-of)), Onset)"
End vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, Offset)"
Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
Start showing a 35 MPH sign.,"(Def/Show-speed-sign/35, Onset)"
End showing a 35 MPH sign.,"(Def/Show-speed-sign/35, Offset)"
Start police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, (Car, Target, Oddball), Onset)"
End police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, Offset)"
Start of a trial,"(Def/Trial-marker, Onset)"
End of a trial,"(Def/Trial-marker, Offset)"
All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
Start of an undefined button press.,"(Def/Press-button, (Indeterminate-action), Onset)"
End of undefined button press.,"(Def/Press-button, Offset)"
Start of button press to acknowledge a police car.,"(Def/Press-button, (Detect, (Target, Label/Police-car)), Onset)"
End of button press to acknowledge a police car.,"(Def/Press-button, Offset)"
"A single police car was in view, and reported, then occluded, then in view again, and reported again. It’s not clear whether the subject knew it was the same target both times.","(Participant-response, Indeterminate-action)"
Participant gives false alarm target response.,"(Participant-response, Incorrect-action)"
Participant gives valid detection of target. ,"(Participant-response, Correct-action)"
Participant gives repeated target detection response.,"(Participant-response, Repetitive, Inappropriate-action)"
Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
Start of left perturbation,"(Def/Left-perturb, Onset)"
End of left perturbation,"(Def/Left-perturb, Offset)"
Start of right perturbation,"(Def/Right-perturb, Onset)"
End of right perturbation,"(Def/Right-perturb, Offset)"
Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
End driving car forward.,"(Def/Drive-vehicle, Offset)"
Start showing a 25 MPH sign.,"(Def/Show-speed-sign/25, Onset)"
End showing a 25 MPH sign.,"(Def/Show-speed-sign/25, Offset)"
Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
Start of a trial,"(Def/Trial-marker, Onset)"
End of a trial,"(Def/Trial-marker, Offset)"
All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)"
Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
The Arduino data collection system starts failing.,"(Def/System-failure/Arduino, Onset)"
The Arduino data collection system enda failing.,"(Def/System-failure/Arduino, Offset)"
The EEG data collection system starts failing.,"(Def/System-failure/EEG, Onset)"
The EEG data collection system ends failing.,"(Def/System-failure/EEG, Offset)"
The eye tracking system starts failing.,"(Def/System-failure/Eye-tracking, Onset)"
The eye tracking system ends failing.,"(Def/System-failure/Eye-tracking, Offset)"
Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
Start of basic guard duty scenario.,"(Def/Experiment/Basic-guard-scenario, Onset)"
End of basic guard duty scenario.,"(Def/Experiment/Basic-guard-scenario, Offset)"
Start block of images from Area C.,(Def/Environmental-area/Area-C Onset)
Stop block of images from Area C.,"(Def/Environmental-area/Area-C, Offset)"
Start showing of a valid image,"(Def/Show-image, (Valid), Onset)"
End showing of a valid image,"(Def/Show-image, Offset)"
Start showing image incorrect access level.,"(Def/Show-image, (Invalid, Label/No_access_to_level), Onset)"
End showing image incorrect access level.,"(Def/Show-image, Offset)"
Start showing image of expired ID,"(Def/Show-image, (Invalid, Label/Expired_ID), Onset)"
End showing image of expired ID.,"(Def/Show-image, Offset)"
Start showing image with photo ID mismatch.,"(Def/Show-image, (Invalid, Label/Photo_mismatch), Onset)"
End showing image with photo ID mismatch.,"(Def/Show-image, Offset)"
Start showing image with suspicious DOB.,"(Def/Show-image, (Invalid, Label/Suspicious_DOB), Onset)"
End showing image with suspicious DOB.,"(Def/Show-image, Offset)"
Start showing image with no watermark.,"(Def/Show-image, (Invalid, Label/No_watermark), Onset)"
End showing image with no watermark.,"(Def/Show-image, Offset)"
Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)"
Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)"
Start taking survey,"(Def/Take-survey, Onset)"
End taking survey.,"(Def/Take-survey, Offset)"
Start of EEG system failure.,"(Def/System-failure/EEG, Onset)"
End of EEG system failure.,"(Def/System-failure/EEG, Offset)"
Start of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Onset)"
End of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Offset)"
Experiment ,"(Definition/Experiment/#,  (Experiment-structure, Task, Label/#))"
Checks should be for authorization to a specified area.,"(Definition/Environmental-area/#, (Experiment-structure,  Condition-variable/Environmental-area-cond, Label/#, Time-block))"
Show an ID image.,"(Definition/Show-image, (Sensory-event, Visual-presentation, (Image, Label/ID-badge)))"
Participant takes a survey,"(Definition/Take-survey, (Agent-action, (Experiment-participant, (Perform, (Label/Take-survey, Touchscreen)))))"
A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
Particpant pushes the left button.,"Agent-action, Participant-response, (Press, (Push-button, (Left-side-of)))"
Participant pushes the right button,"Agent-action, Participant-response, (Press, (Push-button, (Right-side-of)))"
Display an image of a cross character on the screen.,"Sensory-event, Visual-presentation, (Cross, (Center-of, Computer-screen))"
Display an image of a dash character on the screen.,"Sensory-event, Visual-presentation, (Dash, (Center-of, Computer-screen))"
Display a letter on the screen.,"Sensory-event, Visual-presentation, (Character, (Center-of, Computer-screen))"
Play a beep sound.,"Sensory-event, Auditory-presentation, Beep"
Play a buzz sound,"Sensory-event, Auditory-presentation, Buzz"
This event is part of a bad or incomplete trial. Some of the expected trial events are missing.,"(Invalid, Experimental-trial)"
Feedback that the last participant response was correct.,"(Feedback, Correct-action)"
Feedback that the last participant response was incorrect.,"(Feedback, Incorrect-action)"
Indicates participant should fixate.,"(Task, Fixate)"
The participant correctly indicated that the probe was not a target.,"((Recall, Non-target), Correct-action)"
The participant indicated that the probe was not a target but the probe was a target.,"((Recall, Non-target), Incorrect-action)"
The participant presses a button to indicate ready.,"(Appropriate-action, Label/Indicate-ready)"
The probe letter was not shown in the trial.,"(Cue, Non-target)"
The probe letter was a target to be remembered.,"(Cue, Target)"
Participant correctly indicated that the probe was a target.,"((Recall, Target), Correct-action)"
Participant indicated that the probe was a target but the probe was not a target.,"((Recall, Target), Incorrect-action)"
This probe letter is not a target.,Non-target
This probe letter is a target.,Target
Cue to indicate that a probe letter is coming.,"(Cue, Recall)"
Start of left perturbation,"(Def/Left-perturb, Onset)"
End of left perturbation,"(Def/Left-perturb, Offset)"
Start of right perturbation,"(Def/Right-perturb, Onset)"
End of right perturbation,"(Def/Right-perturb, Offset)"
Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
End driving car forward.,"(Def/Drive-vehicle, Offset)"
Start oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, ((Car, (Less-than, Item-count/13)), (Move, Towards, (Leftward, Lane))), Onset)"
End oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, Offset)"
